,k,window_size,total_corners,total_corners,density,density,stability_avg_pct,stability_avg_pct
,,,mean,std,mean,std,mean,std
0,0.04,3,6217.7,4715.453084157331,0.04026981690533092,0.03054030144984379,91.36032389315636,4.486744662169579
1,0.04,5,13160.9,9469.668414352098,0.08523843757488617,0.06133165209002595,91.34748723895619,4.738186121314455
2,0.06,3,5442.4,4319.675687415022,0.0352484763699717,0.02797699294314818,91.81619514652411,4.3243308545661225
3,0.06,5,12074.8,9068.988940339492,0.0782041567088296,0.05873659458384008,91.45927682469565,4.546277794257718
