image,k,window_size,total_corners,density,stability_pos15_pct,stability_neg15_pct,stability_avg_pct
image_01,0.04,3,6274,0.04063445184940512,82.53108065030284,87.10551482307937,84.81829773669111
image_01,0.04,5,16014,0.10371694483844017,84.05769951292619,86.867740726864,85.4627201198951
image_01,0.06,3,5352,0.03466298793401597,83.10911808669657,86.64050822122572,84.87481315396114
image_01,0.06,5,14254,0.09231805493487737,84.15883260839064,86.6704083064403,85.41462045741547
image_02,0.04,3,8159,0.052842922001800505,99.28912856967766,99.37492339747519,99.33202598357641
image_02,0.04,5,15647,0.1013400172278677,99.53345689269509,99.6229309132741,99.5781939029846
image_02,0.06,3,6605,0.04277822034831381,99.07645722937168,99.13701741105223,99.10673732021195
image_02,0.06,5,13226,0.08566006696847818,99.38000907303795,99.41025253288977,99.39513080296386
image_03,0.04,3,2364,0.015310781665921853,82.61421319796955,93.10490693739425,87.8595600676819
image_03,0.04,5,6353,0.04114610656666731,82.00849992129703,91.98803714780419,86.99826853455062
image_03,0.06,3,1890,0.012240853362348689,87.3015873015873,94.49735449735451,90.89947089947091
image_03,0.06,5,5362,0.03472775435392258,82.91682208131294,92.95039164490862,87.93360686311078
image_04,0.04,3,10109,0.06547237388358884,88.16895835394203,92.23464239786328,90.20180037590265
image_04,0.04,5,23884,0.15468811730493973,88.70792162116898,92.11187405794674,90.40989783955786
image_04,0.06,3,8998,0.05827682463196482,87.77506112469437,91.78706379195377,89.78106245832407
image_04,0.06,5,22288,0.14435139668784527,88.44669777458722,91.84314429289304,90.14492103374013
image_05,0.04,3,4313,0.027933756905719524,92.37189891027128,95.22374217482032,93.7978205425458
image_05,0.04,5,9521,0.061664108393080355,92.00714210692155,94.71694149774183,93.36204180233169
image_05,0.06,3,3671,0.023775752747715366,91.63715608825933,95.0694633614819,93.35330972487061
image_05,0.06,5,8428,0.05458513869728823,91.65875652586615,94.19791172282866,92.9283341243474
image_06,0.04,3,6659,0.043127959015809486,94.03814386544526,89.36777293887971,91.7029584021625
image_06,0.04,5,10861,0.07034280866056566,93.70223736304207,89.07098793849553,91.3866126507688
image_06,0.06,3,6124,0.03966295555080602,95.93403004572176,91.54147615937296,93.73775310254736
image_06,0.06,5,10936,0.07082855680986522,93.66313094367229,89.04535479151427,91.35424286759329
image_07,0.04,3,1328,0.008600980563597385,86.5210843373494,93.1475903614458,89.8343373493976
image_07,0.04,5,3673,0.023788706031696687,85.18921862237953,93.95589436427989,89.5725564933297
image_07,0.06,3,1149,0.007441661647269124,87.38033072236728,93.21148825065274,90.29590948651
image_07,0.06,5,3289,0.021301675507282986,86.40924293098206,94.4055944055944,90.40741866828823
image_08,0.04,3,510,0.003303087415236948,96.27450980392157,99.2156862745098,97.74509803921569
image_08,0.04,5,816,0.005284939864379117,98.89705882352942,99.01960784313727,98.95833333333334
image_08,0.06,3,429,0.0027784794139934328,96.96969696969697,98.83449883449883,97.90209790209789
image_08,0.06,5,728,0.004714995369200977,98.76373626373626,99.03846153846155,98.9010989010989
image_09,0.04,3,5949,0.0385295432024404,89.62850899310808,90.85560598419903,90.24205748865356
image_09,0.04,5,12445,0.08060180957377219,89.70670952189634,90.2772197669747,89.99196464443551
image_09,0.06,3,5068,0.032823621608668335,89.46329913180742,90.68666140489346,90.07498026835043
image_09,0.06,5,11102,0.07190367938031489,89.77661682579715,90.4071338497568,90.09187533777697
image_10,0.04,3,16512,0.10694231254978918,88.4811046511628,87.65746124031007,88.06928294573643
image_10,0.04,5,32395,0.2098108172874528,90.13427998147863,85.37428615527088,87.75428306837475
image_10,0.06,3,15138,0.09804340645462141,88.43968820187608,87.83194609591756,88.13581714889682
image_10,0.06,5,31135,0.20165024837922035,90.19752689898827,85.8455114822547,88.02151919062149
