image,ground_truth,method,ksize,blur_ksize,threshold_ratio,tolerance_px,edge_density,num_components,avg_component_length,precision,recall,f1_score
image_01.jpg,image_01.png,sobel,3,5,0.25,1,0.08952662223690261,502,27.53585657370518,0.29436446502206465,0.1779192546583851,0.22178662542115996
image_01.jpg,image_01.png,sobel,5,5,0.25,1,0.09385301908666395,424,34.176886792452834,0.2954247463943137,0.17819875776397515,0.22230451976306453
image_01.jpg,image_01.png,sobel,7,5,0.25,1,0.10148897999365289,380,41.23684210526316,0.3058710912571793,0.1904968944099379,0.2347753870385497
image_02.jpg,image_02.png,sobel,3,5,0.25,1,0.13766750215348347,286,74.32167832167832,0.8867143394806173,0.5660490994608237,0.6909918571570474
image_02.jpg,image_02.png,sobel,5,5,0.25,1,0.13341234836561938,287,71.77351916376307,0.8943638040681586,0.5419008833314214,0.6748847057176868
image_02.jpg,image_02.png,sobel,7,5,0.25,1,0.12735668810435166,255,77.11372549019607,0.8998169243287225,0.5123895835723299,0.6529594879624123
image_03.jpg,image_03.png,sobel,3,5,0.25,1,0.040045077428255,188,32.888297872340424,0.7472100921882582,0.28512920526572405,0.41275464428721603
image_03.jpg,image_03.png,sobel,5,5,0.25,1,0.043050239311921555,158,42.06962025316456,0.7665112080637881,0.2952705997074598,0.42631776591192966
image_03.jpg,image_03.png,sobel,7,5,0.25,1,0.04662534569076625,139,51.79136690647482,0.7777469092929573,0.30858117991223794,0.44185188862843466
image_04.jpg,image_04.png,sobel,3,5,0.25,1,0.17285509808874294,729,36.61042524005487,0.5790400539548128,0.4816718054128126,0.5258869611602645
image_04.jpg,image_04.png,sobel,5,5,0.25,1,0.17200018134597575,578,45.94636678200692,0.5937794178559325,0.46913897453465797,0.5241513726490379
image_04.jpg,image_04.png,sobel,7,5,0.25,1,0.17441596880849217,476,56.575630252100844,0.605235796509469,0.4659986296676944,0.5265683120467672
image_05.jpg,image_05.png,sobel,3,5,0.25,1,0.07901503228606033,381,32.020997375328086,0.20598360655737705,0.18393102586530052,0.1943336972512617
image_05.jpg,image_05.png,sobel,5,5,0.25,1,0.08685176909475975,311,43.11897106109325,0.22043251304996272,0.1991128326877421,0.20923098080223201
image_05.jpg,image_05.png,sobel,7,5,0.25,1,0.09490871173114164,268,54.67910447761194,0.23051726491060462,0.213669873797326,0.22177407047321268
image_06.jpg,image_06.png,sobel,3,5,0.25,1,0.021016703259693913,188,17.26063829787234,0.6961479198767334,0.15046841772515662,0.24745158191305222
image_06.jpg,image_06.png,sobel,5,5,0.25,1,0.022927312646938817,123,28.78048780487805,0.7584745762711864,0.16403241565607218,0.26973110891996094
image_06.jpg,image_06.png,sobel,7,5,0.25,1,0.02514880084973543,97,40.03092783505155,0.7898532062838012,0.17386056669923558,0.2849898588221735
image_07.jpg,image_07.png,sobel,3,5,0.25,1,0.06010971431532179,265,35.02264150943396,0.7271845706281651,0.26897413141373305,0.39269613940280074
image_07.jpg,image_07.png,sobel,5,5,0.25,1,0.06567314978529931,203,49.95073891625616,0.7279092702169625,0.27752029714360843,0.4018373907473385
image_07.jpg,image_07.png,sobel,7,5,0.25,1,0.07150212757689393,177,62.3728813559322,0.7256340579710145,0.28590211353252476,0.41018861543374824
image_08.jpg,image_08.png,sobel,3,5,0.25,1,0.035323605417063364,124,43.983870967741936,0.8777044371103777,0.15770684586308273,0.2673720108191212
image_08.jpg,image_08.png,sobel,5,5,0.25,1,0.04454634361176417,109,63.10091743119266,0.8560628089560919,0.17773519529609408,0.2943563247553293
image_08.jpg,image_08.png,sobel,7,5,0.25,1,0.04816678648454349,89,83.56179775280899,0.855049078929676,0.18230260394792105,0.3005300442753401
image_09.jpg,image_09.png,sobel,3,5,0.25,1,0.18233690196307017,229,122.93886462882097,0.6259368450964373,0.5110693457892264,0.5627007776969565
image_09.jpg,image_09.png,sobel,5,5,0.25,1,0.19332128677923072,209,142.8181818181818,0.6331870414419244,0.5182001603051325,0.5699518387567077
image_09.jpg,image_09.png,sobel,7,5,0.25,1,0.20396888621187687,189,166.62962962962962,0.6433810688089416,0.5238384787595699,0.5774882044250546
image_10.jpg,image_10.png,sobel,3,5,0.25,1,0.16031631919482386,1029,24.05539358600583,0.6510321981173999,0.42284853512640264,0.5126975515474976
image_10.jpg,image_10.png,sobel,5,5,0.25,1,0.15302362031333994,868,27.22004608294931,0.6732974986244551,0.4062786534515129,0.5067662908029232
image_10.jpg,image_10.png,sobel,7,5,0.25,1,0.15014151462749595,730,31.756164383561643,0.690061254421534,0.3982884338296293,0.505064538056146
