ksize,edge_density,num_components,avg_component_length,precision,recall,f1_score
3,0.08952662223690261,502.0,27.53585657370518,0.29436446502206465,0.1779192546583851,0.22178662542115996
5,0.09385301908666395,424.0,34.176886792452834,0.2954247463943137,0.17819875776397515,0.22230451976306453
7,0.10148897999365289,380.0,41.23684210526316,0.3058710912571793,0.1904968944099379,0.2347753870385497
